Airport code,,District,Country
BAU,Bauru,SÃ£o Paulo,Brazil
BAV,Baotou,Inner Mongolia Autonomous Region,China
BAW,Biawonque,Not found,Not found
BAX,Barnaul,Altai Krai,Russia
BAY,Baia Mare,MaramureÅŸ,Romania
BAZ,Barbelos,Amazonas,Brazil
BBA,Teniente Vidal,AysÃ©n Region,Chile
BBB,Municipal,Minnesota,United States
BBC,Bay City,Texas,United States
BBD,Curtis Field,Texas,United States
BBE,Big Bell,Western Australia,Australia
BBF,Burlington,Not found,Not found
BBG,Butaritari,Gilbert Islands,Kiribati
BBH,Barth,Mecklenburg-Vorpommern,Germany
BBI,Bhubaneswar,Odisha,India
BBJ,Bitburg Air Base,Rhineland-Palatinate,Germany
BBK,Kasane,North-West District,Botswana
BBL,Babolsar,Queensland,Australia
BBM,Battambang,Baat Dambang,Cambodia
BBN,Bario,Sarawak,Malaysia
BBO,Berbera,Woqooyi Galbeed,Somalia
BBP,Bembridge,South Carolina,United States
BBQ,Barbuda,Barbuda,Antigua and Barbuda
BBR,Baillif,Guadeloupe,Not found
BBS,Blackbushe,England,United Kingdom
BBT,Berberati,MambÃ©rÃ©-KadÃ©Ã¯,Central African Republic
BBU,Baneasa,BucureÅŸti,Romania
BBV,Bereby,Bas-Sassandra,CÃ´te d'Ivoire
BBW,Broken Bow,Nebraska,United States
BBX,Wings Field,Pennsylvania,United States
BBY,Bambari,Ouaka,Central African Republic
BBZ,Zambezi,North-Western Province,Zambia
BCA,Baracoa,GuantÃ¡namo,Cuba
BCB,Virginia Tech,Virginia,United States
BCC,Bear Creek,Alaska,United States
BCD,Bacolod,Negroe Occidental Province,Philippines
BCE,Bryce,Utah,United States
BCF,Bouca,Ouham,Central African Republic
BCG,Bemichi,Barima-Waini,Guyana
BCH,English Madeira,Baucau,Timor-Leste
BCI,Barcaldine,Queensland,Australia
BCJ,Baca Grande,Colorado,United States
BCK,Bolwarra,Wisconsin,United States
BCL,Barra Colorado,Limon,Costa Rica
BCM,Bacau,BacÄƒu,Romania
BCN,El Prat De Llobregat,Catalonia,Spain
BCO,Jinka,"Southern Nations, Nationalities and Peoples",Ethiopia
BCP,Bambu,Madang,Papua New Guinea
BCQ,Brack,Wadi Al Shatii District,Libya
BCR,Boca Do Acre,Amazonas,Brazil
BCS,Southern Seaplane,Louisiana,United States
BCT,Public,Florida,United States
BCU,Bauchi,Sinaloa,Mexico
BCV,Belmopan,Alaska,United States
BCW,Benguera Island,Inhambane Province,Mozambique
BCX,Beloreck,Republic of Bashkortostan,Russia
BCY,Bulchi,Not found,Not found
BCZ,Bickerton Island,Northern Territory,Australia
BDA,Bermuda International,Bermuda,Not found
BDB,Bundaberg,Queensland,Australia
BDC,Barra Do Corda,MaranhÃ£o,Brazil
BDD,Badu Island,Queensland,Australia
BDE,Baudette,Minnesota,United States
BDF,Rinkenberger,Illinois,United States
BDG,Blanding,Utah,United States
BDH,Bandar Lengeh,Hormozgan Province,Iran
BDI,Bird Island,La Digue,Seychelles
BDJ,Sjamsudin Noor,Wisconsin,United States
BDK,Bondoukou,Zanzan,CÃ´te d'Ivoire
BDL,Bradley International,Connecticut,United States
